Loc;Dev;DevSoc;DevHum;DevInfra;IntFu;N_acords
TZA;1;0,3333333333333333;0,0;0,0;0,3333333333333333;0,3333333333333333
UGA;0;0,0;0,0;0,0;0,0;13,61111111111111
UGA;1;4,833333333333332;0,5;0,0;2,3333333333333335;5,333333333333332
UGA;3;1,0;0,0;0,0;1,0;1,0
UKR;0;0,0;0,0;0,0;0,0;3,0
UKR;1;2,0;1,0;0,0;0,0;2,0
UKR;2;1,0;0,0;1,0;0,0;1,0
USA;0;0,0;0,0;0,0;0,0;1,2
USA;2;0,16666666666666666;0,0;0,0;0,0;0,16666666666666666
USA;3;1,0;0,0;0,0;0,5;1,0
VEN;0;0,0;0,0;0,0;0,0;0,5
YEM;0;0,0;0,0;0,0;1,0;33,5
YEM;1;1,5;8,0;2,0;1,0;10,5
YEM;2;2,0;1,0;2,0;0,0;2,0
YEM;3;1,0;0,0;1,0;1,0;1,0
ZAF;0;0,0;0,0;0,0;0,0;8,0
ZAF;1;2,0;1,0;1,0;0,0;3,0
ZAF;2;1,0;0,0;0,0;0,0;1,0
ZAF;3;1,0;0,0;1,0;1,0;1,0
ZMB;0;0,0;0,0;0,0;0,0;0,1111111111111111
ZMB;1;0,3333333333333333;0,0;0,0;0,3333333333333333;0,3333333333333333
ZWE;1;1,0;0,0;0,0;0,0;1,0
ZWE;3;2,0;0,0;0,0;1,0;2,0
